"";"TCGA.W5.AA31";"TCGA.W5.AA2Q";"TCGA.W5.AA2X";"TCGA.ZU.A8S4";"TCGA.W5.AA2I";"TCGA.W5.AA34";"TCGA.W5.AA2U";"TCGA.W5.AA30"
"TCGA.W5.AA31";0;0,976826290445806;0,946224869148823;0,950664941740751;0,974575965687836;0,962231151406289;0,993570383730675;0,99014927033194
"TCGA.W5.AA2Q";0,976826290445806;0;0,986608597043357;0,970365498960839;0,994293117047561;0,990324158380724;0,969808377525905;0,982672689438919
"TCGA.W5.AA2X";0,946224869148823;0,986608597043357;0;0,977872644682963;0,981236019602087;0,980760110309575;0,93082387227995;0,961987205077178
"TCGA.ZU.A8S4";0,950664941740751;0,970365498960839;0,977872644682963;0;0,963486304011803;0,949821109153988;0,934640795741722;0,96908981201329
"TCGA.W5.AA2I";0,974575965687836;0,994293117047561;0,981236019602087;0,963486304011803;0;0,994057769058648;0,965806009544662;0,975508087496469
"TCGA.W5.AA34";0,962231151406289;0,990324158380724;0,980760110309575;0,949821109153988;0,994057769058648;0;0,952261367309772;0,961505708028484
"TCGA.W5.AA2U";0,993570383730675;0,969808377525905;0,93082387227995;0,934640795741722;0,965806009544662;0,952261367309772;0;0,988476120473975
"TCGA.W5.AA30";0,99014927033194;0,982672689438919;0,961987205077178;0,96908981201329;0,975508087496469;0,961505708028484;0,988476120473975;0
